editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Thu Oct 15 13:33:18 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# Most of these edits revert the new topography to the values in the previous topography 
# /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc
# at selected points in Denmark Strait, Iceland-Faroe Strait, the Strait of Gibraltar,
# the Lombok, Ombai, Timor, Makassar Straits, the Caribbean, Drake Passage, and a few others.
# The edits in the Red Sea and at (i  j) = (207  295) in the Northwest Passage are the only ones not from the old topography.
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-669624837
# and https://github.com/aekiss/notebooks/blob/3f2fbc2/bathymetry.ipynb
#
#   i    j  old                 new
   46  134  2344.385498046875   2340.0
   46  133  2344.385498046875   2340.0
   46  132  2344.385498046875   2340.0
   45  132  2344.385498046875   2340.0
   45  133  2276.97021484375    2340.0
   45  134  2226.2421875        2340.0
   45  135  2344.385498046875   2340.0
   45  136  2243.000244140625   2340.0
   45  137  2344.385498046875   2340.0
   45  131  305.0551452636719   2340.0
   46  131  1291.6419677734375  2340.0
   46  130  2283.4140625        2340.0
   45  130  2344.385498046875   2340.0
   49  134  626.9904174804688   700.0
   51  127  464.0958251953125   700.0
   52  127  446.525390625       700.0
  272  202  1247.3297119140625  1347.7740478515625
  272  203  748.7681274414062   771.3012084960938
  273  203  217.4193572998047   300.0
  273  202  246.73709106445312  300.0
  270  203  3091.268310546875   3276.147705078125
  271  203  1566.9449462890625  2218.0068359375
  207  295  121.93702697753906  178.0
  202  192  627.6714477539062   961.63916015625
  203  191  726.529052734375    1615.35888671875
  204  190  988.970703125       1327.9510498046875
  205  189  1615.35888671875    1931.341064453125
  202  191  559.4945068359375   961.63916015625
  200  192  106.69143676757812  300.0
  201  192  106.69143676757812  300.0
  214   49  1948.4039306640625  2219.59375
  208   49  1346.065673828125   1797.5401611328125
  323  174  41.740665435791016  160.0
  324  174  35.46250915527344   160.0
  322  175  33.76911544799805   160.0
  323  175  33.76911544799805   160.0
  324  175  11.805749893188477  160.0
  322  176  33.76911544799805   160.0
  323  176  28.307947158813477  160.0
  322  177  51.04874038696289   160.0
  321  177  43.60227966308594   160.0
  321  178  58.75120162963867   160.0
  321  179  61.91640090942383   160.0
  322  179  61.91640090942383   160.0
  322  178  61.91640090942383   160.0
  321  180  51.04874038696289   160.0
  322  180  50.739681243896484  160.0
  320  181  89.41149139404297   160.0
  321  181  89.41149139404297   160.0
  320  182  150.35394287109375  160.0
  321  182  79.39942932128906   160.0
  320  180  14.45968246459961   160.0
  321  176  24.85329246520996   160.0
  322  174  11.805749893188477  160.0
  319  182  143.85537719726562  160.0
  321  183  44.32814407348633   160.0
  322  181  25.468032836914062  160.0
  321  175  22.611820220947266  160.0
